Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Azerbaijan;AZE;Population, total;SP.POP.TOTL;3894492;4026355;4163394;4302763;4440730;4574497;4702916;4826258;4944928;5059918;5171999;5281236;5387374;5490572;5591016;5688998;5786880;5882440;5976760;6075000;6166000;6265000;6362000;6461000;6563000;6669000;6779000;6893000;7004000;7085000;7159000;7271000;7382000;7495000;7597000;7685000;7763000;7838000;7913000;7983000;8048534.786;8111143.779;8171892.896;8234039.364;8306399.798;8391850;8484550;8581300;8763400;8947150;9047932
Bahamas, The;BHS;Population, total;SP.POP.TOTL;109527;115112;121090;127340;133709;140063;146379;152623;158644;164263;169367;173875;177849;181490;185091;188870;192885;197090;201474;205990;210600;215330;220188;225083;229899;234553;238989;243236;247409;251671;256128;260845;265761;270701;275426;279774;283677;287217;290571;293988;297651;301606;305801;310201;314739;319358;324066;328861;333661;338358;342877
Bahrain;BHR;Population, total;SP.POP.TOTL;161825;167179;172294;177170;181833;186351;190734;195111;199818;205291;211878;219532;228255;238468;250683;265160;282245;301559;321751;340980;357957;372074;383785;394164;404829;416929;430845;446142;462184;477995;492891;506685;519696;532362;545329;559069;574914;592986;611237;626765;638193;642510;642070;647164;671760;724807;811410;925733;1052359;1169578;1261835
Bangladesh;BGD;Population, total;SP.POP.TOTL;50101943;51531438;52977254;54474293;56071080;57791778;59681186;61702785;63703327;65474474;66881158;67849312;68461849;68933357;69567500;70582168;72053923;73915723;76066342;78342736;80624423;82883616;85156396;87459802;89828434;92283598;94825499;97429290;100062322;102681627;105256026;107768749;110225555;112645460;115059015;117486952;119928682;122370403;124803351;127214841;129592275;131944584;134266428;136514768;138633401;140587922;142353501;143956805;145478300;147030145;148692131
Barbados;BRB;Population, total;SP.POP.TOTL;230831;231574;232490;233496;234455;235271;235912;236443;236974;237657;238593;239841;241345;242949;244433;245646;246523;247128;247589;248101;248796;249716;250809;252017;253244;254419;255532;256602;257621;258588;259501;260351;261136;261885;262637;263416;264237;265088;265941;266758;267511;268192;268813;269389;269947;270503;271062;271618;272180;272750;273331
Belarus;BLR;Population, total;SP.POP.TOTL;8198000;8271216;8351928;8437232;8524224;8610000;8696496;8785648;8874552;8960304;9040000;9115576;9188968;9257272;9317584;9367000;9411000;9463000;9525000;9584000;9643000;9710000;9776000;9843000;9910000;9975000;10043000;10111000;10140000;10170000;10189000;10194000;10216000;10239000;10227000;10194000;10160000;10117000;10069000;10035000;10005000;9970260.055;9925000;9873968.351;9824469.451;9775591.494;9732500;9702000;9602000;9507000;9490500
Belgium;BEL;Population, total;SP.POP.TOTL;9119000;9166000;9218000;9283000;9367000;9448000;9508000;9557000;9590000;9613000;9638000;9673000;9709000;9738000;9768000;9795000;9811000;9822000;9830000;9837000;9847000;9852000;9856000;9856000;9853000;9858000;9862000;9870000;9902000;9938000;9967400;10004500;10045000;10084500;10115600;10136800;10157000;10181000;10203000;10226000;10252000;10287000;10333000;10376133;10421137;10478617;10547958;10625700;10709973;10796493;10879159
Belize;BLZ;Population, total;SP.POP.TOTL;91046;94241.9344;97670.7216;101193.2688;104595.088;107736;110643.5168;113333.1968;115787.2848;117995.3328;119972;121721.0832;123214.1568;124670.4704;126420.56;128673;131411.8848;134676.7264;138337.872;142162.1456;146000;149892.8368;153848.424;156986;161982.4064;166200;170400;175200;179800;183200;189000;194000;199000;205000;211000;216500;222000;230000;238500;243100;249800;257300;265200;273700;282600;291800;301386;311500;322100;333200;344700
Benin;BEN;Population, total;SP.POP.TOTL;2419644;2451123;2485248;2521922;2561022;2602490;2646310;2692610;2741672;2793872;2849508;2908713;2971515;3037990;3108179;3182130;3259918;3341618;3427274;3516917;3610578;3708675;3811326;3917941;4027682;4140176;4254522;4371470;4494242;4627194;4773137;4934077;5108335;5290562;5473217;5651141;5821985;5988093;6154708;6329476;6517810;6721337;6937985;7164976;7397985;7633757;7871707;8112573;8355980;8601771;8849892
Bermuda;BMU;Population, total;SP.POP.TOTL;44400;45500;46600;47700;48900;50100;51000;52000;53000;54000;55000;54600;54200;53800;53400;53000;53200;53400;53600;53800;54000;54400;54800;55200;55600;56000;56900;57800;58700;59600;60500;61000;61000;61000;61300;61700;61785.96015;61872.04005;61958.23989;62044.55981;62131;62460;62750;63040;63320;63570;63800;64000;64200;64400;64600
